latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
51.5,-0.25,69.0,0,Europe/London,GMT

time,temperature_2m (°C),precipitation (mm),rain (mm),snowfall (cm),cloudcover (%),windspeed_10m (km/h),windspeed_100m (km/h)
2021-01-01T00:00,-0.2,0.00,0.00,0.00,41,4.8,11.2
2021-01-01T01:00,-0.0,0.00,0.00,0.00,43,5.7,12.7
2021-01-01T02:00,-0.3,0.00,0.00,0.00,43,5.9,12.9
2021-01-01T03:00,-0.7,0.00,0.00,0.00,33,5.6,12.8
2021-01-01T04:00,-0.7,0.00,0.00,0.00,32,5.8,14.3
2021-01-01T05:00,-0.4,0.00,0.00,0.00,41,7.3,16.5
2021-01-01T06:00,-0.7,0.00,0.00,0.00,62,8.6,18.1
2021-01-01T07:00,-0.5,0.00,0.00,0.00,86,9.2,18.5
2021-01-01T08:00,-0.9,0.00,0.00,0.00,100,8.9,17.9
2021-01-01T09:00,-0.9,0.00,0.00,0.00,100,9.2,16.5
2021-01-01T10:00,0.1,0.00,0.00,0.00,81,7.4,11.7
2021-01-01T11:00,0.9,0.00,0.00,0.00,100,8.4,11.3
2021-01-01T12:00,1.5,0.00,0.00,0.00,99,9.7,13.0
2021-01-01T13:00,1.9,0.00,0.00,0.00,100,9.2,12.5
2021-01-01T14:00,2.5,0.00,0.00,0.00,100,9.2,13.0
2021-01-01T15:00,2.9,0.00,0.00,0.00,100,8.4,13.2
2021-01-01T16:00,3.3,0.00,0.00,0.00,100,6.8,13.6
2021-01-01T17:00,3.5,0.00,0.00,0.00,92,7.9,16.3
2021-01-01T18:00,3.7,0.00,0.00,0.00,95,8.4,17.6
2021-01-01T19:00,3.5,0.00,0.00,0.00,100,9.5,19.0
2021-01-01T20:00,3.8,0.20,0.20,0.00,100,10.9,20.5
2021-01-01T21:00,3.8,0.20,0.20,0.00,100,11.5,21.8
2021-01-01T22:00,4.1,0.20,0.20,0.00,100,9.0,17.1
2021-01-01T23:00,4.2,0.10,0.10,0.00,100,10.0,18.5
2021-01-02T00:00,4.3,0.00,0.00,0.00,100,10.7,19.3
2021-01-02T01:00,4.3,0.00,0.00,0.00,100,10.8,19.8
2021-01-02T02:00,4.3,0.00,0.00,0.00,100,11.8,20.8
2021-01-02T03:00,4.2,0.00,0.00,0.00,96,12.2,21.4
2021-01-02T04:00,4.1,0.00,0.00,0.00,90,11.9,21.1
2021-01-02T05:00,3.9,0.00,0.00,0.00,90,12.6,22.0
2021-01-02T06:00,3.7,0.00,0.00,0.00,88,13.9,24.1
2021-01-02T07:00,3.5,0.00,0.00,0.00,75,13.2,22.8
2021-01-02T08:00,3.0,0.00,0.00,0.00,65,11.9,21.4
2021-01-02T09:00,2.5,0.00,0.00,0.00,56,11.3,20.6
2021-01-02T10:00,2.8,0.00,0.00,0.00,66,9.8,18.3
2021-01-02T11:00,3.4,0.00,0.00,0.00,29,9.2,13.4
2021-01-02T12:00,3.7,0.00,0.00,0.00,30,9.2,12.4
2021-01-02T13:00,4.0,0.00,0.00,0.00,36,9.2,12.4
2021-01-02T14:00,4.0,0.00,0.00,0.00,53,9.1,12.8
2021-01-02T15:00,3.6,0.00,0.00,0.00,67,7.3,13.3
2021-01-02T16:00,2.8,0.00,0.00,0.00,74,7.3,15.9
2021-01-02T17:00,2.4,0.00,0.00,0.00,78,8.6,18.2
2021-01-02T18:00,1.9,0.00,0.00,0.00,77,8.5,18.1
2021-01-02T19:00,1.7,0.00,0.00,0.00,68,8.3,18.4
2021-01-02T20:00,1.3,0.00,0.00,0.00,61,9.0,19.5
2021-01-02T21:00,1.0,0.00,0.00,0.00,60,9.7,20.2
2021-01-02T22:00,0.7,0.00,0.00,0.00,73,9.0,18.8
2021-01-02T23:00,0.4,0.00,0.00,0.00,74,9.8,19.8
2021-01-03T00:00,0.4,0.00,0.00,0.00,77,10.7,20.9
2021-01-03T01:00,0.5,0.00,0.00,0.00,77,10.9,21.6
2021-01-03T02:00,0.8,0.00,0.00,0.00,86,10.8,21.8
2021-01-03T03:00,0.8,0.00,0.00,0.00,100,10.4,21.3
2021-01-03T04:00,1.0,0.00,0.00,0.00,100,10.8,21.7
2021-01-03T05:00,1.3,0.00,0.00,0.00,100,11.5,22.0
2021-01-03T06:00,1.5,0.00,0.00,0.00,100,11.6,22.4
2021-01-03T07:00,1.6,0.00,0.00,0.00,88,12.4,23.3
2021-01-03T08:00,1.8,0.00,0.00,0.00,100,12.8,24.7
2021-01-03T09:00,2.6,0.00,0.00,0.00,100,13.7,26.1
2021-01-03T10:00,3.2,0.00,0.00,0.00,77,11.5,21.3
2021-01-03T11:00,4.1,0.00,0.00,0.00,55,13.4,21.3
