location_easting_osgr,location_northing_osgr,longitude,latitude,day_of_week,first_road_class,speed_limit,second_road_class,light_conditions,weather_conditions,road_surface_conditions,special_conditions_at_site,urban_or_rural_area,time_slot,vehicle_type,sex_of_driver,age_band_of_driver,engine_capacity_cc,driver_home_area_type
530009.993,181537.128,-0.1276184,51.5178038,2,5,32,5,1,1,1,0,1,8,9,1,7,1390,3
530129.81,181601.406,-0.1258688,51.5183539,2,5,32,5,1,1,1,0,1,8,9,1,7,1390,3
530062.27,181440.879,-0.1269009,51.5169268,2,5,32,5,1,1,1,0,1,8,9,1,7,1390,3
530009.993,181537.128,-0.1276184,51.5178038,2,5,32,5,1,1,1,0,1,8,9,1,7,1390,3
529917.485,181029.368,-0.129138,51.5132619,2,5,32,5,1,1,1,0,1,8,9,1,7,1390,3
530062.27,181440.879,-0.1269009,51.5169268,2,5,32,5,1,1,1,0,1,8,9,1,7,1390,3
530067.241,180511.936,-0.1271719,51.5085774,2,5,32,5,1,1,1,0,1,8,9,1,7,1390,3
529917.485,181029.368,-0.129138,51.5132619,2,5,32,5,1,1,1,0,1,8,9,1,7,1390,3
530061.402,180390.642,-0.1273007,51.5074887,2,4,32,5,1,1,1,0,1,8,9,1,7,1390,3
530067.241,180511.936,-0.1271719,51.5085774,2,4,32,5,1,1,1,0,1,8,9,1,7,1390,3
530161.691,179620.847,-0.1261404,51.5005476,2,4,32,4,1,1,1,0,1,8,9,1,7,1390,3
530061.402,180390.642,-0.1273007,51.5074887,2,4,32,4,1,1,1,0,1,8,9,1,7,1390,3
